2026-06-09 13:13:56 | [HIGH] MMSI=574012222 | [DEMO] SAIGON FORTUNE | Flag=VNM | Pos=(2.9988,108.0000) | Zone=Laut Natuna Utara | Score=0.900 | Reasons: Kapal asing (VNM) terdeteksi di Laut Natuna Utara; Kapal fishing asing (VNM) beroperasi di zona Indonesia; Kapal asing di zona kritis: Laut Natuna Utara
2026-06-09 13:14:04 | [MEDIUM] MMSI=413567333 | [DEMO] GUANGZHOU TRADER | Flag=CHN | Pos=(4.0000,109.4955) | Zone=Laut Natuna Utara | Score=0.600 | Reasons: Kapal asing (CHN) terdeteksi di Laut Natuna Utara; Kapal asing di zona kritis: Laut Natuna Utara
2026-06-09 13:14:55 | [MEDIUM] MMSI=533445555 | [DEMO] SINGAPORE STAR | Flag=SGP | Pos=(-5.4970,108.5000) | Zone=Laut Jawa | Score=0.600 | Reasons: Kapal asing (SGP) terdeteksi di Laut Jawa; Kapal asing di zona kritis: Laut Jawa
2026-06-09 14:19:31 | [MEDIUM] MMSI=525000001 | KM ASIA 72 | Flag=CN | Pos=(-3.7620,112.7581) | Zone=Indonesia EEZ | Score=0.550 | Reasons: Kapal asing (CN) terdeteksi di Indonesia EEZ; Negara bendera berisiko tinggi: CN
2026-06-09 14:19:31 | [MEDIUM] MMSI=550394186 | TB ASIA 44 | Flag=TW | Pos=(-7.7085,138.2339) | Zone=Laut Arafura | Score=0.600 | Reasons: Kapal asing (TW) terdeteksi di Laut Arafura; Kapal asing di zona kritis: Laut Arafura
2026-06-09 14:19:31 | [MEDIUM] MMSI=518129299 | FV PACIFIC 52 | Flag=MY | Pos=(0.7091,118.7095) | Zone=Laut Sulawesi | Score=0.600 | Reasons: Kapal asing (MY) terdeteksi di Laut Sulawesi; Kapal asing di zona kritis: Laut Sulawesi
2026-06-09 14:19:31 | [HIGH] MMSI=525000007 | MT SEJAHTERA 59 | Flag=CN | Pos=(0.1911,118.0701) | Zone=Laut Sulawesi | Score=0.750 | Reasons: Kapal asing (CN) terdeteksi di Laut Sulawesi; Kapal asing di zona kritis: Laut Sulawesi; Negara bendera berisiko tinggi: CN
2026-06-09 14:19:33 | [MEDIUM] MMSI=436644887 | KM MUTIARA 93 | Flag=SG | Pos=(-5.2483,109.4994) | Zone=Laut Jawa | Score=0.600 | Reasons: Kapal asing (SG) terdeteksi di Laut Jawa; Kapal asing di zona kritis: Laut Jawa
2026-06-09 14:19:33 | [HIGH] MMSI=432696123 | MT ASIA 69 | Flag=JP | Pos=(1.4308,98.6613) | Zone=Selat Malaka | Score=0.900 | Reasons: Kapal asing (JP) terdeteksi di Selat Malaka; Kapal fishing asing (JP) beroperasi di zona Indonesia; Kapal asing di zona kritis: Selat Malaka
2026-06-09 14:19:34 | [HIGH] MMSI=525000011 | MT BAHAGIA 48 | Flag=CN | Pos=(-4.9330,109.7945) | Zone=Laut Jawa | Score=0.750 | Reasons: Kapal asing (CN) terdeteksi di Laut Jawa; Kapal asing di zona kritis: Laut Jawa; Negara bendera berisiko tinggi: CN
2026-06-09 14:19:35 | [LOW] MMSI=525000012 | FV ASIA 48 | Flag=MY | Pos=(-6.0347,105.5403) | Zone=Indonesia EEZ | Score=0.400 | Reasons: Kapal asing (MY) terdeteksi di Indonesia EEZ
2026-06-09 14:19:35 | [HIGH] MMSI=504280214 | TB SINAR 62 | Flag=CN | Pos=(1.7940,100.0170) | Zone=Selat Malaka | Score=0.750 | Reasons: Kapal asing (CN) terdeteksi di Selat Malaka; Kapal asing di zona kritis: Selat Malaka; Negara bendera berisiko tinggi: CN
2026-06-09 14:19:37 | [MEDIUM] MMSI=525000014 | KM PACIFIC 51 | Flag=SG | Pos=(2.9438,101.9528) | Zone=Selat Malaka | Score=0.600 | Reasons: Kapal asing (SG) terdeteksi di Selat Malaka; Kapal asing di zona kritis: Selat Malaka
2026-06-09 14:19:37 | [LOW] MMSI=525000015 | MV ASIA 39 | Flag=MY | Pos=(-3.2798,113.7058) | Zone=Indonesia EEZ | Score=0.400 | Reasons: Kapal asing (MY) terdeteksi di Indonesia EEZ
2026-06-09 14:19:37 | [MEDIUM] MMSI=525000017 | MT SAMUDRA 21 | Flag=TW | Pos=(-7.4859,138.6904) | Zone=Laut Arafura | Score=0.600 | Reasons: Kapal asing (TW) terdeteksi di Laut Arafura; Kapal asing di zona kritis: Laut Arafura
2026-06-09 14:19:37 | [HIGH] MMSI=525000018 | KM SEJAHTERA 56 | Flag=JP | Pos=(2.2430,100.9587) | Zone=Selat Malaka | Score=0.900 | Reasons: Kapal asing (JP) terdeteksi di Selat Malaka; Kapal fishing asing (JP) beroperasi di zona Indonesia; Kapal asing di zona kritis: Selat Malaka
2026-06-09 14:19:38 | [LOW] MMSI=525000020 | MV FORTUNE 42 | Flag=MY | Pos=(-3.0557,114.6464) | Zone=Indonesia EEZ | Score=0.400 | Reasons: Kapal asing (MY) terdeteksi di Indonesia EEZ
2026-06-09 14:19:38 | [MEDIUM] MMSI=525000024 | FV BAHAGIA 47 | Flag=CN | Pos=(-5.4215,105.9992) | Zone=Indonesia EEZ | Score=0.550 | Reasons: Kapal asing (CN) terdeteksi di Indonesia EEZ; Negara bendera berisiko tinggi: CN
